order_id,order_date,city,category,items,subtotal,delivery_fee,status
SUN-1001,2026-07-01,Hyderabad,women,2,2698,0,CONFIRMED
SUN-1002,2026-07-01,Mumbai,electronics,1,2499,0,CONFIRMED
SUN-1003,2026-07-02,Delhi,men,1,899,79,CONFIRMED
SUN-1004,2026-07-03,Bengaluru,home,3,3197,0,CONFIRMED
SUN-1005,2026-07-03,Hyderabad,footwear,1,1799,0,PAYMENT_FAILED
SUN-1006,2026-07-04,Pune,women,2,3598,0,CONFIRMED
SUN-1007,2026-07-04,Chennai,home,1,749,79,CONFIRMED
SUN-1008,2026-07-05,Mumbai,men,2,2398,0,OUT_OF_STOCK
SUN-1009,2026-07-05,Delhi,electronics,1,18999,0,CONFIRMED
SUN-1010,2026-07-06,Hyderabad,women,1,1499,0,CONFIRMED
SUN-1011,2026-07-06,Bengaluru,footwear,2,2998,0,CONFIRMED
SUN-1012,2026-07-07,Pune,electronics,1,15999,0,PAYMENT_FAILED
